id,name,time,location,host,url
"310693378","Introduction to Voice Acting -online workshop (free)","Sat, Sep 20 · 2:00 PM EDT","NYC","Sat, Sep 20 · 2:00 PM EDT","https://www.meetup.com/voice-acting-for-beginners/events/310693378/?recId=1eed24ac-09e1-4916-aa69-8c4d5e0fcd35&recSource=ml-popular-events-nearby-online&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310946065","Birthday Party - BLAZE is turning 17!!","Wed, Sep 24 · 6:00 PM EDT","NYC","Wed, Sep 24 · 6:00 PM EDT","https://www.meetup.com/blazenyc/events/310946065/?recId=1eed24ac-09e1-4916-aa69-8c4d5e0fcd35&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310650372",""The Anti-Workshop Workshop: Improv For People Who Hate Team Building"","Thu, Sep 25 · 6:00 PM EDT","NYC","Thu, Sep 25 · 6:00 PM EDT","https://www.meetup.com/901-innovation-improv-nyc/events/310650372/?recId=1eed24ac-09e1-4916-aa69-8c4d5e0fcd35&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"308137208","PGConf NYC 2025 - Schedule Available!","Mon, Sep 29 · 8:00 AM EDT","NYC","Mon, Sep 29 · 8:00 AM EDT","https://www.meetup.com/postgres-nyc/events/308137208/?recId=1eed24ac-09e1-4916-aa69-8c4d5e0fcd35&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"311068960","Community Building & a Micro-Talk on Experiential Marketing in EdTech","Mon, Sep 22 · 5:30 PM EDT","NYC","Mon, Sep 22 · 5:30 PM EDT","https://www.meetup.com/nyedtech/events/311068960/?recId=1eed24ac-09e1-4916-aa69-8c4d5e0fcd35&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310767287","Neptune Sextile Pluto: The Aspect Everyone Has and No One Remembers","Thu, Oct 16 · 7:00 PM EDT","NYC","Thu, Oct 16 · 7:00 PM EDT","https://www.meetup.com/the-big-apple-astrology-meetup-group/events/310767287/?recId=1eed24ac-09e1-4916-aa69-8c4d5e0fcd35&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310596740","Language Exchange in NYC!","Every Sun","NYC","Every Sun • Sep 21 · 4:00 PM EDT","https://www.meetup.com/the-new-spanish-english-language-exchange/events/310596740/?recId=1eed24ac-09e1-4916-aa69-8c4d5e0fcd35&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310605581","L33TN1GHT","Sat, Sep 27 · 5:00 PM EDT","NYC","Sat, Sep 27 · 5:00 PM EDT","https://www.meetup.com/hackmanhattan/events/310605581/?recId=1eed24ac-09e1-4916-aa69-8c4d5e0fcd35&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"311120522","🍎🍁🧣 Harvest Moon Orchard Day Escape 🌲🚋","Sat, Oct 11 · 10:00 AM EDT","NYC","Sat, Oct 11 · 10:00 AM EDT","https://www.meetup.com/socially-awkward-but-im-trying/events/311120522/?recId=1eed24ac-09e1-4916-aa69-8c4d5e0fcd35&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"311025003","Coping Skills for Coders: Prioritizing Mental Wellness in Tech","Sun, Sep 21 · 3:00 PM EDT","NYC","Sun, Sep 21 · 3:00 PM EDT","https://www.meetup.com/new-york-code-coffee/events/311025003/?recId=422acab6-c350-4fdc-aae9-56f2740a14eb&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"308738880","South Asian ( desi ) meetup - make sure to rsvp","Every two weeks on Sat","NYC","Every two weeks on Sat • Sep 27 · 6:00 PM EDT","https://www.meetup.com/bronx-sociale-meetup-group/events/308738880/?recId=422acab6-c350-4fdc-aae9-56f2740a14eb&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"311011569","NY Botanical Gardens: Roses, forest, river, & more","Sun, Sep 21 · 1:10 PM EDT","NYC","Sun, Sep 21 · 1:10 PM EDT","https://www.meetup.com/nyc-walks-nature-beauty-peace/events/311011569/?recId=422acab6-c350-4fdc-aae9-56f2740a14eb&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"307930617","Come play tennis and party with us.","Monthly","NYC","Monthly • Fri, Sep 26 · 8:00 PM EDT","https://www.meetup.com/tennis-on-the-town/events/307930617/?recId=422acab6-c350-4fdc-aae9-56f2740a14eb&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310842788","Saturday Drinks at Bar Veloce","Sat, Sep 20 · 3:30 PM EDT","NYC","Sat, Sep 20 · 3:30 PM EDT","https://www.meetup.com/meetup-group-nyc-social/events/310842788/?recId=422acab6-c350-4fdc-aae9-56f2740a14eb&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
